"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
57,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",57,"n.a. ( 75)","Unknown","Unknown",NA,NA
58,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",58,"n.a. ( 76)","Unknown","Unknown",NA,NA
59,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",59,"n.a. ( 77)","Unknown","Unknown",NA,NA
60,160,"NZL","New Zealand",2,"Bay of Plenty",6,"Opotiki",60,"n.a. ( 116)","Unknown","Unknown",NA,NA
61,160,"NZL","New Zealand",2,"Bay of Plenty",6,"Opotiki",61,"n.a. ( 161)","Unknown","Unknown",NA,NA
62,160,"NZL","New Zealand",2,"Bay of Plenty",6,"Opotiki",62,"n.a. ( 169)","Unknown","Unknown",NA,NA
63,160,"NZL","New Zealand",2,"Bay of Plenty",7,"Rotorua",63,"n.a. ( 158)","Unknown","Unknown",NA,NA
64,160,"NZL","New Zealand",2,"Bay of Plenty",7,"Rotorua",64,"n.a. ( 181)","Unknown","Unknown",NA,NA
65,160,"NZL","New Zealand",2,"Bay of Plenty",8,"Taupo",65,"n.a. ( 197)","Unknown","Unknown",NA,NA
66,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",66,"n.a. ( 103)","Unknown","Unknown",NA,NA
67,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",67,"n.a. ( 110)","Unknown","Unknown",NA,NA
68,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",68,"n.a. ( 111)","Unknown","Unknown",NA,NA
69,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",69,"n.a. ( 112)","Unknown","Unknown",NA,NA
70,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",70,"n.a. ( 118)","Unknown","Unknown",NA,NA
71,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",71,"n.a. ( 119)","Unknown","Unknown",NA,NA
72,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",72,"n.a. ( 120)","Unknown","Unknown",NA,NA
73,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",73,"n.a. ( 122)","Unknown","Unknown",NA,NA
74,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",74,"n.a. ( 123)","Unknown","Unknown",NA,NA
75,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",75,"n.a. ( 125)","Unknown","Unknown",NA,NA
76,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",76,"n.a. ( 126)","Unknown","Unknown",NA,NA
77,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",77,"n.a. ( 127)","Unknown","Unknown",NA,NA
78,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",78,"n.a. ( 128)","Unknown","Unknown",NA,NA
79,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",79,"n.a. ( 130)","Unknown","Unknown",NA,NA
80,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",80,"n.a. ( 131)","Unknown","Unknown",NA,NA
81,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",81,"n.a. ( 134)","Unknown","Unknown",NA,NA
82,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",82,"n.a. ( 137)","Unknown","Unknown",NA,NA
83,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",83,"n.a. ( 140)","Unknown","Unknown",NA,NA
84,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty",84,"n.a. ( 144)","Unknown","Unknown",NA,NA
85,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",85,"n.a. ( 113)","Unknown","Unknown",NA,NA
86,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",86,"n.a. ( 151)","Unknown","Unknown",NA,NA
87,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",87,"n.a. ( 152)","Unknown","Unknown",NA,NA
88,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",88,"n.a. ( 155)","Unknown","Unknown",NA,NA
89,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",89,"n.a. ( 156)","Unknown","Unknown",NA,NA
90,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",90,"n.a. ( 163)","Unknown","Unknown",NA,NA
91,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",91,"n.a. ( 164)","Unknown","Unknown",NA,NA
92,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",92,"n.a. ( 167)","Unknown","Unknown",NA,NA
93,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",93,"n.a. ( 171)","Unknown","Unknown",NA,NA
94,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",94,"n.a. ( 173)","Unknown","Unknown",NA,NA
95,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",95,"n.a. ( 174)","Unknown","Unknown",NA,NA
96,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",96,"n.a. ( 178)","Unknown","Unknown",NA,NA
97,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",97,"n.a. ( 186)","Unknown","Unknown",NA,NA
98,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane",98,"n.a. ( 196)","Unknown","Unknown",NA,NA
99,160,"NZL","New Zealand",3,"Canterbury",11,"Ashburton",99,"n.a. ( 338)","Unknown","Unknown",NA,NA
100,160,"NZL","New Zealand",3,"Canterbury",11,"Ashburton",100,"n.a. ( 366)","Unknown","Unknown",NA,NA
101,160,"NZL","New Zealand",3,"Canterbury",12,"Bounty Islands",101,"n.a. ( 479)","Unknown","Unknown",NA,NA
102,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",102,"n.a. ( 342)","Unknown","Unknown",NA,NA
103,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",103,"n.a. ( 345)","Unknown","Unknown",NA,NA
104,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",104,"n.a. ( 346)","Unknown","Unknown",NA,NA
105,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",105,"n.a. ( 349)","Unknown","Unknown",NA,NA
106,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",106,"n.a. ( 351)","Unknown","Unknown",NA,NA
107,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",107,"n.a. ( 352)","Unknown","Unknown",NA,NA
108,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",108,"n.a. ( 353)","Unknown","Unknown",NA,NA
109,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",109,"n.a. ( 354)","Unknown","Unknown",NA,NA
110,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",110,"n.a. ( 355)","Unknown","Unknown",NA,NA
111,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",111,"n.a. ( 356)","Unknown","Unknown",NA,NA
112,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",112,"n.a. ( 357)","Unknown","Unknown",NA,NA
113,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",113,"n.a. ( 359)","Unknown","Unknown",NA,NA
114,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",114,"n.a. ( 364)","Unknown","Unknown",NA,NA
115,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",115,"n.a. ( 365)","Unknown","Unknown",NA,NA
116,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch",116,"n.a. ( 367)","Unknown","Unknown",NA,NA
117,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui",117,"n.a. ( 323)","Unknown","Unknown",NA,NA
118,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui",118,"n.a. ( 324)","Unknown","Unknown",NA,NA
119,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui",119,"n.a. ( 329)","Unknown","Unknown",NA,NA
120,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui",120,"n.a. ( 331)","Unknown","Unknown",NA,NA
121,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui",121,"n.a. ( 336)","Unknown","Unknown",NA,NA
122,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui",122,"n.a. ( 337)","Unknown","Unknown",NA,NA
123,160,"NZL","New Zealand",3,"Canterbury",15,"Kaikoura",123,"n.a. ( 327)","Unknown","Unknown",NA,NA
124,160,"NZL","New Zealand",3,"Canterbury",16,"Mackenzie",124,"n.a. ( 344)","Unknown","Unknown",NA,NA
125,160,"NZL","New Zealand",3,"Canterbury",16,"Mackenzie",125,"n.a. ( 350)","Unknown","Unknown",NA,NA
126,160,"NZL","New Zealand",3,"Canterbury",16,"Mackenzie",126,"n.a. ( 368)","Unknown","Unknown",NA,NA
127,160,"NZL","New Zealand",3,"Canterbury",16,"Mackenzie",127,"n.a. ( 374)","Unknown","Unknown",NA,NA
128,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",128,"n.a. ( 333)","Unknown","Unknown",NA,NA
129,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",129,"n.a. ( 343)","Unknown","Unknown",NA,NA
130,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",130,"n.a. ( 348)","Unknown","Unknown",NA,NA
131,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",131,"n.a. ( 358)","Unknown","Unknown",NA,NA
132,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",132,"n.a. ( 360)","Unknown","Unknown",NA,NA
133,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",133,"n.a. ( 363)","Unknown","Unknown",NA,NA
134,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn",134,"n.a. ( 370)","Unknown","Unknown",NA,NA
135,160,"NZL","New Zealand",3,"Canterbury",18,"Timaru",135,"n.a. ( 347)","Unknown","Unknown",NA,NA
136,160,"NZL","New Zealand",3,"Canterbury",18,"Timaru",136,"n.a. ( 372)","Unknown","Unknown",NA,NA
137,160,"NZL","New Zealand",3,"Canterbury",18,"Timaru",137,"n.a. ( 373)","Unknown","Unknown",NA,NA
138,160,"NZL","New Zealand",3,"Canterbury",18,"Timaru",138,"n.a. ( 378)","Unknown","Unknown",NA,NA
139,160,"NZL","New Zealand",3,"Canterbury",19,"Waimakariri",139,"n.a. ( 334)","Unknown","Unknown",NA,NA
140,160,"NZL","New Zealand",3,"Canterbury",19,"Waimakariri",140,"n.a. ( 335)","Unknown","Unknown",NA,NA
141,160,"NZL","New Zealand",3,"Canterbury",19,"Waimakariri",141,"n.a. ( 340)","Unknown","Unknown",NA,NA
142,160,"NZL","New Zealand",3,"Canterbury",19,"Waimakariri",142,"n.a. ( 341)","Unknown","Unknown",NA,NA
143,160,"NZL","New Zealand",3,"Canterbury",20,"Waimate",143,"n.a. ( 376)","Unknown","Unknown",NA,NA
144,160,"NZL","New Zealand",3,"Canterbury",20,"Waimate",144,"n.a. ( 377)","Unknown","Unknown",NA,NA
145,160,"NZL","New Zealand",3,"Canterbury",20,"Waimate",145,"n.a. ( 381)","Unknown","Unknown",NA,NA
146,160,"NZL","New Zealand",3,"Canterbury",20,"Waimate",146,"n.a. ( 382)","Unknown","Unknown",NA,NA
147,160,"NZL","New Zealand",3,"Canterbury",20,"Waimate",147,"n.a. ( 384)","Unknown","Unknown",NA,NA
148,160,"NZL","New Zealand",3,"Canterbury",21,"Waitaki",148,"n.a. ( 369)","Unknown","Unknown",NA,NA
149,160,"NZL","New Zealand",4,"Chatham Islands",22,"Waitangi",149,"n.a. ( 361)","Unknown","Unknown",NA,NA
150,160,"NZL","New Zealand",4,"Chatham Islands",22,"Waitangi",150,"n.a. ( 362)","Unknown","Unknown",NA,NA
151,160,"NZL","New Zealand",4,"Chatham Islands",22,"Waitangi",151,"n.a. ( 375)","Unknown","Unknown",NA,NA
152,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",152,"n.a. ( 115)","Unknown","Unknown",NA,NA
153,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",153,"n.a. ( 136)","Unknown","Unknown",NA,NA
154,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",154,"n.a. ( 159)","Unknown","Unknown",NA,NA
155,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",155,"n.a. ( 170)","Unknown","Unknown",NA,NA
156,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",156,"n.a. ( 180)","Unknown","Unknown",NA,NA
157,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",157,"n.a. ( 187)","Unknown","Unknown",NA,NA
158,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",158,"n.a. ( 198)","Unknown","Unknown",NA,NA
159,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",159,"n.a. ( 200)","Unknown","Unknown",NA,NA
